Age,Income,Number of Children,Gender Encoded,Marital Status Encoded,Home Ownership Encoded,Education_BACHELOR'S DEGREE,Education_DOCTORATE,Education_HIGH SCHOOL DIPLOMA,Education_MASTER'S DEGREE
42,10500000.0,0,1,1,0,0,1,0,0
40,13000000.0,0,1,1,0,0,0,1,0
28,7500000.0,0,1,1,1,1,0,0,0
30,10500000.0,2,1,0,0,0,0,0,1
33,5250000.0,0,1,1,1,0,0,1,0
42,12500000.0,0,1,0,0,0,0,1,0
29,2750000.0,0,0,1,1,0,0,1,0
30,11750000.0,2,1,0,0,0,0,0,1
33,5250000.0,0,1,1,1,0,0,1,0
33,5250000.0,0,1,1,1,0,0,1,0
30,11750000.0,2,1,0,0,0,0,0,1
42,9000000.0,1,0,0,0,0,1,0,0
48,8750000.0,1,0,0,0,0,1,0,0
38,6750000.0,2,0,0,0,1,0,0,0
26,4500000.0,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
31,6750000.0,0,1,1,1,1,0,0,0
39,6250000.0,2,0,0,0,1,0,0,0
30,11250000.0,2,1,0,0,0,0,0,1
42,14000000.0,0,1,0,0,1,0,0,0
42,10500000.0,0,1,1,0,0,0,0,1
25,5750000.0,0,0,1,1,1,0,0,0
32,8500000.0,0,1,1,1,0,0,0,1
32,5750000.0,0,1,1,1,0,0,0,0
45,11000000.0,3,0,0,0,1,0,0,0
53,12750000.0,0,1,0,0,0,0,0,0
53,12250000.0,0,1,0,0,0,0,0,0
53,11500000.0,0,1,0,0,0,0,0,0
30,10000000.0,2,1,0,0,0,0,0,1
44,8750000.0,0,1,1,0,0,0,0,1
33,7750000.0,1,0,0,0,0,1,0,0
47,9750000.0,1,0,0,0,0,1,0,0
42,8500000.0,1,0,0,0,0,1,0,0
49,7750000.0,1,0,0,0,0,1,0,0
33,7000000.0,2,0,0,0,1,0,0,0
41,12000000.0,0,1,1,0,0,1,0,0
37,7250000.0,2,0,0,0,1,0,0,0
38,6750000.0,2,0,0,0,1,0,0,0
35,7500000.0,1,0,0,0,0,1,0,0
40,13000000.0,0,1,1,0,0,0,1,0
28,3250000.0,0,0,1,1,0,0,0,0
42,9500000.0,0,1,1,0,0,0,0,1
42,11000000.0,0,1,1,0,0,1,0,0
37,7750000.0,2,0,0,0,1,0,0,0
40,12500000.0,0,1,1,0,0,0,1,0
26,4750000.0,0,0,1,1,0,0,0,0
29,2750000.0,0,0,1,1,0,0,1,0
43,9250000.0,0,1,1,0,0,0,0,1
26,4500000.0,0,0,1,1,0,0,0,0
31,6000000.0,0,1,1,1,1,0,0,0
31,7000000.0,0,1,1,1,1,0,0,0
42,11000000.0,0,1,1,0,0,0,0,1
29,6800000.0,2,0,0,0,0,1,0,0
33,3500000.0,0,0,1,1,0,0,1,0
34,4750000.0,0,1,1,1,0,0,0,0
48,7000000.0,1,0,0,0,0,1,0,0
43,9500000.0,0,1,1,0,0,0,0,1
36,8500000.0,2,0,0,0,0,0,0,1
42,8500000.0,1,0,0,0,0,1,0,0
28,3250000.0,0,0,1,1,0,0,0,0
34,10500000.0,1,1,0,1,1,0,0,0
32,5750000.0,0,1,1,1,0,0,0,0
35,9000000.0,1,0,0,0,0,1,0,0
35,8500000.0,1,0,0,0,0,1,0,0
44,7500000.0,0,1,1,0,0,0,0,1
34,4750000.0,0,1,1,1,0,0,0,0
48,8250000.0,1,0,0,0,0,1,0,0
34,4500000.0,0,1,1,1,0,0,0,0
43,8000000.0,0,1,1,0,0,0,0,1
33,5750000.0,0,1,1,1,0,0,0,0
33,3000000.0,0,0,1,1,0,0,0,0
50,16000000.0,0,1,0,0,0,0,0,1
30,10500000.0,2,1,0,0,0,0,0,1
36,8500000.0,2,0,0,0,0,0,0,1
51,15000000.0,0,1,0,0,1,0,0,0
25,5750000.0,0,0,1,1,1,0,0,0
49,6500000.0,1,0,0,0,0,1,0,0
52,13000000.0,0,1,0,0,0,0,1,0
26,4000000.0,0,0,1,1,0,0,0,0
42,8500000.0,1,0,0,0,0,1,0,0
50,15500000.0,0,1,0,0,0,0,0,1
40,14250000.0,0,1,1,0,0,0,1,0
42,11250000.0,2,1,0,0,0,0,0,1
33,6750000.0,2,0,0,0,1,0,0,0
48,8250000.0,1,0,0,0,0,1,0,0
25,5000000.0,0,0,1,1,1,0,0,0
34,4750000.0,0,1,1,1,0,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
26,4750000.0,0,0,1,1,0,0,0,0
31,5907450.237326332,0,1,1,1,0,0,0,0
33,4740711.845103757,0,0,1,1,0,0,0,0
28,5394811.335037584,0,0,1,1,0,0,0,0
31,5777609.912601494,0,1,1,1,0,0,0,0
25,5870575.04291525,0,0,1,1,1,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
28,5595697.215104279,0,0,0,0,0,0,0,0
26,5497938.8376169875,0,0,0,0,0,0,0,0
29,6485891.414559665,1,0,0,0,0,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
31,6523244.894852399,0,1,1,1,1,0,0,0
32,4750000.0,0,0,1,1,0,0,0,0
32,4750000.0,0,0,1,1,0,0,0,0
32,5750000.0,0,0,1,1,0,0,0,0
25,5500000.0,0,0,0,0,1,0,0,0
31,5827648.04206079,0,1,1,1,0,0,0,0
30,4750000.0,0,0,1,1,0,0,0,0
25,5678133.760964796,0,0,0,0,1,0,0,0
26,4500000.0,0,0,1,1,0,0,0,0
33,5750000.0,0,0,1,1,0,0,0,0
28,7440072.9078509435,0,1,1,1,1,0,0,0
29,5750000.0,0,0,1,1,0,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
33,4750000.0,0,1,1,1,0,0,0,0
25,5584425.302926156,0,0,1,1,1,0,0,0
31,5750000.0,0,0,1,1,0,0,0,0
32,5750000.0,0,0,1,1,0,0,0,0
27,5436091.879468584,0,0,1,1,0,0,0,0
31,6324914.766768098,0,1,1,1,1,0,0,0
32,5750000.0,0,0,1,1,0,0,0,0
25,5750000.0,0,0,1,1,1,0,0,0
31,4750000.0,0,0,1,1,0,0,0,0
29,6786010.604951376,1,0,0,0,0,0,0,0
26,4492081.110044897,0,0,1,1,0,0,0,0
25,5500000.0,0,0,0,0,1,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
31,6840273.827024745,0,1,1,1,1,0,0,0
25,5750000.0,0,0,1,1,0,0,0,0
33,4750000.0,0,1,1,1,0,0,0,0
25,5750000.0,0,0,1,1,1,0,0,0
26,5451625.026484521,0,0,1,1,0,0,0,0
28,7231256.108305346,0,1,1,1,1,0,0,0
29,6727542.208668045,1,0,0,0,0,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
33,4750000.0,0,0,1,1,0,0,0,0
34,4678653.21679266,0,1,1,1,0,0,0,0
30,4651829.859163709,0,0,1,1,0,0,0,0
31,5767492.340453154,0,1,1,1,0,0,0,0
34,4750000.0,0,1,1,1,0,0,0,0
31,5750000.0,0,0,1,1,1,0,0,0
33,5250000.0,0,1,1,1,0,0,1,0
33,4750000.0,0,1,1,1,0,0,0,0
30,6755739.792824255,0,0,0,0,0,0,0,0
25,5750000.0,0,0,1,1,0,0,0,0
31,4750000.0,0,0,1,1,0,0,0,0
34,4706041.678219504,0,1,1,1,0,0,0,0
32,2750000.0,0,0,1,1,0,0,1,0
28,3227089.2639563936,0,0,1,1,0,0,0,0
30,2983385.4933699355,0,0,1,1,0,0,0,0
32,3499800.673985768,0,0,1,1,0,0,0,0
30,2750000.0,0,0,1,1,0,0,1,0
30,2750000.0,0,0,1,1,0,0,1,0
31,2750000.0,0,0,1,1,0,0,1,0
28,2946618.8133199485,0,0,1,1,0,0,0,0
33,3036786.4380163527,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
33,3037620.698613668,0,0,1,1,0,0,1,0
31,2750000.0,0,0,1,1,0,0,1,0
30,2838234.828527274,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
32,3496117.061397861,0,0,1,1,0,0,0,0
33,3084509.809697105,0,0,1,1,0,0,0,0
29,3186091.8794685844,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
33,2893483.0197058846,0,0,1,1,0,0,0,0
29,3319591.3139565373,0,0,1,1,0,0,0,0
29,3319946.975243121,0,0,1,1,0,0,0,0
32,2750000.0,0,0,1,1,0,0,1,0
30,3388330.386071548,0,0,1,1,0,0,0,0
33,3466666.630693125,0,0,1,1,0,0,0,0
28,3069452.345950511,0,0,1,1,0,0,0,0
32,3490038.576724689,0,0,1,1,0,0,0,0
28,3237861.3113491167,0,0,1,1,0,0,0,0
33,3100452.8486710954,0,0,1,1,0,0,0,0
32,2750000.0,0,0,1,1,0,0,1,0
30,2750000.0,0,0,1,1,0,0,1,0
28,3250000.0,0,0,1,1,0,0,0,0
31,2935401.602507165,0,0,1,1,0,0,0,0
32,3497049.112835875,0,0,1,1,0,0,0,0
31,2928653.21679266,0,0,1,1,0,0,0,0
33,3196340.2816725825,0,0,1,1,0,0,0,0
32,3017492.3404531544,0,0,1,1,0,0,0,0
30,2750000.0,0,0,1,1,0,0,1,0
32,3451308.1053757067,0,0,1,1,0,0,0,0
31,2937257.8274024725,0,0,1,1,0,0,0,0
33,2862831.231076267,0,0,1,1,0,0,0,0
29,2750000.0,0,0,1,1,0,0,1,0
32,2992808.16861944,0,0,1,1,0,0,0,0
30,2819755.4224422756,0,0,1,1,0,0,0,0
33,2793958.3217804963,0,0,1,1,0,0,0,0
31,2750000.0,0,0,1,1,0,0,1,0
30,2968547.3325028303,0,0,1,1,0,0,0,0
31,2870169.3851652425,0,0,1,1,0,0,0,0
33,3292792.779551016,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
29,3180171.2795877205,0,0,1,1,0,0,0,0
33,2763873.0707247374,0,0,1,1,0,0,0,0
32,3046334.663947286,0,0,1,1,0,0,0,0
28,3186793.2360111545,0,0,1,1,0,0,0,0
28,3172060.928687055,0,0,1,1,0,0,0,0
28,3266234.4906595326,0,0,1,1,0,0,0,0
33,3220205.0235764785,0,0,1,1,0,0,0,0
29,2750000.0,0,0,1,1,0,0,1,0
28,3112054.4489228195,0,0,1,1,0,0,0,0
33,2835166.6968026506,0,0,1,1,0,0,0,0
29,2750000.0,0,0,1,1,0,0,1,0
28,3250000.0,0,0,1,1,0,0,0,0
28,3235116.0874319323,0,0,1,1,0,0,0,0
30,3110149.136029603,0,0,1,1,0,0,0,0
30,2750000.0,0,0,1,1,0,0,1,0
30,3144453.206963848,0,0,1,1,0,0,0,0
32,2803878.9487018185,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
33,2771702.4245930314,0,0,1,1,0,0,0,0
28,3089703.20846297,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
33,2917853.3519921093,0,0,1,1,0,0,0,0
32,3048391.894591257,0,0,1,1,0,0,0,0
31,3087368.9226905517,0,0,1,1,0,0,0,0
30,2983908.059049583,0,0,1,1,0,0,0,0
31,3088876.5083575635,0,0,1,1,0,0,0,0
31,3088636.1852386394,0,0,1,1,0,0,0,0
33,3072469.440171828,0,0,1,1,0,0,0,0
28,3250000.0,0,0,1,1,0,0,0,0
